outdir	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\MultiDimensionalScaling\FixedPointRuns\MDSasChisq\PlotsWithCenters
fasta	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\Sequences\mega_region_6.fa
cnum	mindistmean	minmdsmean	mdscog
0	OK	OK	OK
1	BAD	REASONABLE	OK
2	BAD	BAD	OK
3	BAD	OK	OK
4	REASONABLE	REASONABLE	OK
5	BAD	BAD	OK
6	NA	NA	NA
7	REASONABLE	BAD	OK

region	7
centerswithfixed	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\MultiDimensionalScaling\FixedPointRuns\MDSasChisq\PlotsWithCenters\fungi_LSU_7(9)_to_7(8)_w_centers_w_fixed.pviz
fasta	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\Sequences\mega_region_7.fa
cnum	mindistmean	minmdsmean	mdscog
0	OK	OK	OK
1	OK	REASONABLE	OK
2	NA	NA	NA
3	BAD	REASONABLE	OK
4	OK	REASONABLE	REASONABLE
5	BAD	REASONABLE	OK
6	BAD	BAD	OK
7	NA	NA	NA
